StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,participation,age,gender,education,livesinaachen,region,media channels,license,own_vehicle,preferences_mobility_1,preferences_mobility_2,preferences_mobility_3,preferences_mobility_4,preferences_mobility_5,preferences_mobility_6,preferences_mobility_7,preferences_mobility_8,preferences_mobility_9,driving_climate_1,driving_climate_2,driving_climate_3,driving_climate_4,technology_curios,technology_favor,technology_new,technology_moreoften,technology_scared,technology_overload,technology_destroy,technology_complex,technology_succesful,technology_me,technology_solution,technology_happening,utaut_performance1,utaut_performance2,utaut_performance3,utaut_performance 4,utaut_effort1,utaut_effort2,utaut_effort3,utaut_effort4,utaut_social1,utaut_social2,utaut_social3,utaut_hedonic1,utaut_hedonic2,utaut_hedonic3,utaut_pricevalue1,utaut_pricevalue2,utaut_pricevalue3,utaut_fascilitating1,utaut_fascilitating2,utaut_fascilitating3,utaut_fascilitating4,utaut_behavioral1,utaut_behavioral2,utaut_behavioral3,utaut_useintention,Sem_Diff_Ziefle_1,Sem_Diff_Ziefle_2,Sem_Diff_Ziefle_3,Sem_Diff_Ziefle_4,Sem_Diff_Ziefle_5,Sem_Diff_Ziefle_6,Sem_Diff_Ziefle_7,Sem_Diff_Ziefle_8,Sem_Diff_Ziefle_9,Sem_Diff_Ziefle_10,Sem_Diff_Ziefle_11,Sem_Diff_Ziefle_12,Sem_Diff_Ziefle_13,Sem_Diff_Ziefle_14,Sem_Diff_Ziefle_15,Sem_Diff_Ziefle_16,Sem_Diff_Ziefle_17,Sem_Diff_Ziefle_18,Sem_Diff_Ziefle_19,Sem_Diff_Ziefle_20,Sem_Diff_Ziefle_21,Sem_Diff_Ziefle_22,Sem_Diff_Ziefle_23
2024-01-04 14:01:12,2024-01-04 14:51:13,0,95.223.44.218,100,3000,1,2024-01-04 14:51:13,R_84vmtfpOCoYwvmj,,,,,50.7661,6.1395,anonymous,DE,1,26,1,4,1,3,"2,3,7,8,10",1,1,3,8,7,1,9,5,2,4,6,5,2,5,2,5,4,4,5,3,3,4,3,5,5,5,5,2,2,3,1,5,5,5,5,2,3,3,3,4,4,2,3,4,5,5,5,5,2,2,2,2,3,2,2,1,1,3,1,2,2,2,1,3,3,4,5,3,2,2,1,2,3,1,3
2024-01-04 14:42:07,2024-01-04 14:57:25,0,83.135.243.222,100,918,1,2024-01-04 14:57:26,R_7eY2a72IpRfph1T,,,,,50.7793,6.2154,anonymous,DE,1,20,1,4,1,3,"2,3,5,7,10",2,2,1,7,9,5,8,6,2,3,4,6,2,5,2,5,5,3,3,2,2,1,2,4,5,2,4,6,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,6,5,6,6,5,5,5,5,5,5,3,3,3,3,4,3,5,4,5,5,5,5,3,2,4,3,4,5,4,5
2024-01-04 14:41:29,2024-01-04 15:06:37,0,89.15.239.169,100,1508,1,2024-01-04 15:06:38,R_8mkCkW11JV6Whh4,,,,,51.2993,9.491,anonymous,DE,1,56,1,4,1,1,"2,5,8,10",1,1,1,7,8,9,5,6,2,3,4,5,2,3,3,5,4,2,2,2,2,2,2,5,4,4,4,5,5,5,2,5,5,5,5,5,5,5,5,4,3,3,4,4,5,5,5,5,5,4,4,2,5,5,5,3,3,4,3,2,4,4,5,5,5,5,5,5,2,2,5,5,3,4,4
2024-01-04 14:44:02,2024-01-04 15:34:31,0,46.114.106.24,100,3029,1,2024-01-04 15:34:32,R_7FDhCiCSNyifn5P,,,,,50.99,6.964,anonymous,DE,1,24,2,3,1,3,"10,11",1,2,3,6,5,1,7,8,2,4,9,4,2,5,1,5,4,2,2,3,5,3,4,3,5,4,3,4,4,3,3,4,5,5,5,3,2,3,4,4,4,5,5,5,5,5,5,5,4,4,4,5,3,4,4,4,4,4,4,4,4,1,5,1,4,5,3,3,3,5,3,5,4,3,3
2024-01-04 15:35:50,2024-01-04 15:49:47,0,2.201.185.20,100,836,1,2024-01-04 15:49:48,R_2fkIsJDeRsrGBv5,,,,,50.9298,6.9489,anonymous,DE,1,35,2,5,1,2,"8,9,10,11",1,1,1,8,7,2,9,5,3,4,6,6,2,5,5,6,6,6,6,2,2,1,2,5,5,5,5,4,5,3,3,5,5,5,5,4,5,5,4,4,4,3,4,4,3,5,3,4,4,4,3,3,4,4,4,5,5,5,5,5,4,4,4,3,3,4,4,3,3,3,4,4,2,3,3
2024-01-04 15:52:01,2024-01-04 16:08:29,0,93.233.196.155,100,987,1,2024-01-04 16:08:30,R_2CAYTEBEYdq9ZdM,,,,,50.7793,6.2154,anonymous,DE,1,52,1,5,1,2,"1,4,5,9,10",1,1,1,8,9,4,6,7,2,3,5,6,1,5,1,4,2,2,2,4,3,3,4,4,4,4,5,6,6,6,5,5,5,5,5,5,5,5,4,4,4,4,4,5,5,5,5,4,5,3,5,5,5,5,4,4,4,4,2,2,2,4,4,5,4,5,4,4,1,2,5,5,3,5,4
2024-01-04 16:01:44,2024-01-04 16:10:16,0,37.201.229.227,100,511,1,2024-01-04 16:10:16,R_3dpfEb8V4unXYOt,,,,,51.4511,6.9999,anonymous,DE,1,22,1,5,1,3,10,1,2,3,4,8,6,7,9,2,1,5,6,2,5,2,4,3,2,2,2,2,2,2,4,5,5,5,5,5,5,4,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,4,5,3,3,4,5,4,4,4,4,4,2,3,4,5,4,3,5,4,5,5,4,3,5,5,5,5,3
2024-01-04 16:13:12,2024-01-04 16:19:56,0,95.223.45.127,100,403,1,2024-01-04 16:19:57,R_2EclZEQUFqmd9Gc,,,,,50.7661,6.1395,anonymous,DE,1,25,1,5,1,3,"3,10",1,1,2,6,9,7,8,4,1,3,5,6,1,6,1,6,6,6,6,1,1,1,2,5,5,4,5,6,6,6,6,6,6,6,6,5,5,6,6,6,6,4,4,4,3,6,6,6,6,6,6,7,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,4,2,4,5,5,4,5,5
2024-01-04 16:32:05,2024-01-04 16:42:38,0,176.198.202.15,100,632,1,2024-01-04 16:42:39,R_61jnWBoJ2vmgRKX,,,,,51.22,6.763,anonymous,DE,1,27,1,5,1,3,"2,3,7,10",1,1,3,9,6,8,7,2,1,4,5,4,5,2,5,4,4,3,2,2,2,2,2,4,4,4,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,3,6,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,3
2024-01-04 16:37:01,2024-01-04 16:45:14,0,95.223.45.129,100,493,1,2024-01-04 16:45:14,R_3qvS5ttCHXg6kEA,,,,,50.7932,6.095,anonymous,DE,1,26,1,5,1,3,"4,10",1,1,3,6,7,4,8,5,1,2,9,5,4,3,4,6,6,4,5,1,2,1,1,3,2,2,2,6,5,5,5,5,5,6,6,6,5,5,6,6,5,6,5,5,6,6,6,6,6,5,5,5,5,4,5,5,4,4,4,3,3,5,5,5,5,5,5,5,4,5,5,5,5,5,5
2024-01-04 17:24:49,2024-01-04 17:40:12,0,95.223.44.182,100,923,1,2024-01-04 17:40:13,R_3CgjjjKCxugr2BX,,,,,50.7745,6.0861,anonymous,DE,1,28,1,5,1,3,"2,10",1,1,2,6,9,5,7,1,4,3,8,5,2,4,2,5,5,4,3,3,1,2,2,2,5,2,5,4,3,4,3,6,6,6,6,5,5,5,4,4,4,3,2,2,3,6,6,6,3,1,2,2,3,4,4,4,4,4,3,4,5,4,4,3,4,3,3,3,3,2,3,3,3,3,3
2024-01-04 17:42:45,2024-01-04 17:50:56,0,92.192.196.228,100,490,1,2024-01-04 17:50:57,R_1CkRzuBFu8Su66L,,,,,50.8623,6.9483,anonymous,DE,1,35,2,5,1,2,"2,3,7,9,10",1,1,2,1,6,5,7,8,3,9,4,5,3,4,2,6,6,6,6,1,1,1,1,6,6,5,5,5,5,5,4,6,6,6,6,5,5,5,4,4,4,4,5,5,6,6,6,6,5,4,4,5,5,4,4,4,4,4,4,4,5,3,4,4,5,5,5,5,2,4,4,4,4,4,3
2024-01-04 17:44:35,2024-01-04 17:53:46,0,89.1.59.253,100,551,1,2024-01-04 17:53:47,R_1CKqYIS00v4uj6R,,,,,50.9111,6.9122,anonymous,DE,1,29,2,5,1,3,"2,3,4,10",1,1,3,5,8,6,9,4,1,2,7,5,3,5,2,6,5,4,3,2,2,1,1,5,5,5,5,4,4,4,4,6,6,6,6,5,4,5,6,6,6,4,4,4,5,5,5,5,5,3,5,3,4,5,4,4,4,4,4,5,4,4,2,4,5,5,4,4,2,4,4,4,4,4,4
2024-01-04 17:55:35,2024-01-04 18:11:47,0,80.187.122.128,100,972,1,2024-01-04 18:11:48,R_8P561XRGezguzMB,,,,,51.4444,7.0114,anonymous,DE,1,27,2,4,1,3,"3,10,11",1,1,1,9,7,4,8,3,5,2,6,2,5,1,5,6,6,6,3,1,1,1,1,5,5,5,5,1,2,2,2,5,4,3,4,1,1,4,3,2,2,4,4,2,5,5,5,5,2,2,2,1,4,3,4,4,4,4,2,3,4,4,4,4,4,5,4,3,2,3,1,2,3,1,1
2024-01-04 18:03:25,2024-01-04 18:12:20,0,46.114.108.20,100,534,1,2024-01-04 18:12:21,R_6oYrxzmEOXDsj2u,,,,,50.9446,7.0115,anonymous,DE,1,23,1,4,1,3,10,2,2,9,7,8,4,6,3,2,1,5,4,3,4,3,3,2,2,2,2,2,1,2,4,4,3,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,5,3,6,6,6,6,6,6,6,7,3,5,5,5,5,5,5,3,3,5,5,3,5,5,5,3,1,1,5,3,5,5,5
2024-01-04 18:39:58,2024-01-04 18:50:29,0,80.187.120.108,100,630,1,2024-01-04 18:50:29,R_2rTGHBRDVipXnfC,,,,,50.9218,6.947,anonymous,DE,1,25,1,4,1,3,"2,3,9,10",2,2,4,7,9,6,8,3,1,2,5,6,2,5,2,5,5,4,5,3,3,2,2,4,5,3,2,5,5,5,4,6,5,5,6,6,6,6,5,5,5,5,5,5,5,5,5,5,6,6,6,5,4,5,5,4,4,4,3,3,4,5,5,4,5,2,5,5,3,4,4,4,4,5,5
2024-01-04 18:42:52,2024-01-04 18:53:11,0,46.114.106.49,100,618,1,2024-01-04 18:53:12,R_6EcHXktSzj50mVz,,,,,50.99,6.964,anonymous,DE,1,28,1,4,1,3,"2,3,4,5,9,10,11",1,2,2,8,7,6,9,5,1,3,4,6,2,5,1,4,3,2,4,2,2,2,2,2,2,3,4,6,6,6,5,5,5,5,5,5,5,6,6,6,5,5,6,5,6,6,6,6,6,6,6,7,5,5,4,4,3,5,3,4,4,5,5,5,5,5,4,4,2,4,5,5,4,5,4
